Date,State,Num_of_Arrivals
1997-05-01,SA,4590
1997-05-01,TAS,770
1997-05-01,Total,289100
1997-05-01,VIC,34860
1997-05-01,WA,25000
1997-06-01,ACT,1620
1997-06-01,NSW,125130
1997-06-01,NT,3980
1997-06-01,QLD,104980
1997-06-01,SA,4270
1997-06-01,TAS,870
1997-06-01,Total,308180
1997-06-01,VIC,38440
1997-06-01,WA,28530
1997-07-01,ACT,3020
1997-07-01,NSW,153290
1997-07-01,NT,5590
1997-07-01,QLD,130500
1997-07-01,SA,7000
1997-07-01,TAS,1740
1997-07-01,Total,397360
1997-07-01,VIC,64890
1997-07-01,WA,30820
1997-08-01,ACT,2830
1997-08-01,NSW,130430
1997-08-01,NT,5030
1997-08-01,QLD,117370
1997-08-01,SA,7470
1997-08-01,TAS,1230
1997-08-01,Total,330430
1997-08-01,VIC,38770
1997-08-01,WA,26780
1997-09-01,ACT,2150
1997-09-01,NSW,134300
1997-09-01,NT,5250
1997-09-01,QLD,109140
1997-09-01,SA,6060
1997-09-01,TAS,870
1997-09-01,Total,330940
1997-09-01,VIC,41430
1997-09-01,WA,31640
1997-10-01,ACT,2730
1997-10-01,NSW,149050
1997-10-01,NT,5290
1997-10-01,QLD,112060
1997-10-01,SA,8630
1997-10-01,TAS,1700
1997-10-01,Total,366480
1997-10-01,VIC,49080
1997-10-01,WA,37810
1997-11-01,ACT,2530
1997-11-01,NSW,156030
1997-11-01,NT,5140
1997-11-01,QLD,112660
1997-11-01,SA,9140
1997-11-01,TAS,2090
1997-11-01,Total,379460
1997-11-01,VIC,53540
1997-11-01,WA,37840
1997-12-01,ACT,3490
1997-12-01,NSW,182330
1997-12-01,NT,3750
1997-12-01,QLD,123150
1997-12-01,SA,12970
1997-12-01,TAS,4440
1997-12-01,Total,448280
1997-12-01,VIC,68380
1997-12-01,WA,49370
1998-01-01,ACT,2810
1998-01-01,NSW,144010
1998-01-01,NT,3200
1998-01-01,QLD,99540
1998-01-01,SA,7580
1998-01-01,TAS,3070
1998-01-01,Total,346230
1998-01-01,VIC,51310
1998-01-01,WA,34480
1998-02-01,ACT,3150
1998-02-01,NSW,152600
1998-02-01,NT,3240
1998-02-01,QLD,87660
1998-02-01,SA,9560
1998-02-01,TAS,4790
1998-02-01,Total,353610
1998-02-01,VIC,59930
1998-02-01,WA,32550
1998-03-01,ACT,3080
1998-03-01,NSW,142460
1998-03-01,NT,2590
1998-03-01,QLD,90620
1998-03-01,SA,8060
1998-03-01,TAS,2430
1998-03-01,Total,338560
1998-03-01,VIC,55750
1998-03-01,WA,33270
1998-04-01,ACT,2810
1998-04-01,NSW,145130
1998-04-01,NT,2620
1998-04-01,QLD,100920
1998-04-01,SA,7680
1998-04-01,TAS,1080
1998-04-01,Total,341080
1998-04-01,VIC,48300
1998-04-01,WA,32150
1998-05-01,ACT,1590
1998-05-01,NSW,114700
1998-05-01,NT,3520
1998-05-01,QLD,90830
1998-05-01,SA,4930
1998-05-01,TAS,960
1998-05-01,Total,283400
1998-05-01,VIC,38420
1998-05-01,WA,28270
1998-06-01,ACT,2020
1998-06-01,NSW,117010
1998-06-01,NT,3630
1998-06-01,QLD,108740
1998-06-01,SA,3650
1998-06-01,TAS,1000
1998-06-01,Total,304190
1998-06-01,VIC,40240
1998-06-01,WA,27400
1998-07-01,ACT,2360
1998-07-01,NSW,152430
1998-07-01,NT,6020
1998-07-01,QLD,117250
1998-07-01,SA,5430
1998-07-01,TAS,550
1998-07-01,Total,372300
1998-07-01,VIC,56030
1998-07-01,WA,31070
1998-08-01,ACT,1630
1998-08-01,NSW,134250
1998-08-01,NT,5110
1998-08-01,QLD,109970
1998-08-01,SA,6130
